"Year (BP 1950)","Year (CE)","Nitrate (μEq/L)","Non sea-salt sulphate (μEq/L)"
577.5,1372.5,0.361,0.479
578.5,1371.5,0.418,0.4
579.5,1370.5,0.282,0.077
580.5,1369.5,0.385,0.443
581.5,1368.5,0.485,0.404
582.5,1367.5,0.282,0.374
583.5,1366.5,0.241,0.202
584.5,1365.5,0.276,0.245
585.5,1364.5,0.369,0.404
586.5,1363.5,0.339,0.364
587.5,1362.5,0.356,0.451
588.5,1361.5,0.4,0.261
589.5,1360.5,0.414,0.333
590.5,1359.5,0.337,0.423
591.5,1358.5,0.35,0.295
592.5,1357.5,0.377,0.687
593.5,1356.5,0.308,0.3
594.5,1355.5,0.326,0.427
595.5,1354.5,0.391,0.326
596.5,1353.5,0.344,0.451
597.5,1352.5,0.295,0.497
598.5,1351.5,0.299,0.446
599.5,1350.5,0.294,0.373
600.5,1349.5,0.263,0.295
601.5,1348.5,0.302,0.364
602.5,1347.5,0.365,0.45
603.5,1346.5,0.27,0.416
604.5,1345.5,0.35,0.606
605.5,1344.5,0.342,1.126
606.5,1343.5,0.28,0.488
607.5,1342.5,0.339,0.435
608.5,1341.5,0.278,0.341
609.5,1340.5,0.368,0.407
610.5,1339.5,0.233,0.285
611.5,1338.5,0.193,0.27
612.5,1337.5,0.288,0.5
613.5,1336.5,0.242,0.419
614.5,1335.5,0.308,0.568
615.5,1334.5,0.3,0.444
616.5,1333.5,0.357,0.405
617.5,1332.5,0.301,0.316
618.5,1331.5,0.326,0.308
619.5,1330.5,0.294,0.187
620.5,1329.5,0.362,0.915
621.5,1328.5,0.194,-0.203
622.5,1327.5,0.274,0.344
623.5,1326.5,0.217,0.444
624.5,1325.5,0.278,0.895
625.5,1324.5,0.285,0.258
626.5,1323.5,0.221,0.31
627.5,1322.5,0.258,0.448
628.5,1321.5,0.299,0.471
629.5,1320.5,0.26,0.348
630.5,1319.5,0.223,0.369
631.5,1318.5,0.4,0.368
632.5,1317.5,0.445,0.486
633.5,1316.5,0.394,0.448
634.5,1315.5,0.441,0.451
635.5,1314.5,0.259,0.46
636.5,1313.5,0.383,0.428
637.5,1312.5,0.307,0.28
638.5,1311.5,0.316,0.295
639.5,1310.5,0.349,0.262
640.5,1309.5,0.306,0.43
641.5,1308.5,0.366,0.344
642.5,1307.5,0.251,0.297
643.5,1306.5,0.271,0.145
644.5,1305.5,0.306,0.457
645.5,1304.5,0.377,0.219
646.5,1303.5,0.291,0.437
647.5,1302.5,0.249,0.227
648.5,1301.5,0.345,0.521
649.5,1300.5,0.416,0.344
650.5,1299.5,0.258,0.364
651.5,1298.5,0.354,0.353
652.5,1297.5,0.447,0.551
653.5,1296.5,0.339,0.48
654.5,1295.5,0.259,0.381
655.5,1294.5,0.472,0.588
656.5,1293.5,0.414,0.444
657.5,1292.5,0.342,0.57
658.5,1291.5,0.415,0.362
659.5,1290.5,0.418,0.374
660.5,1289.5,0.551,0.473
661.5,1288.5,0.37,0.349
662.5,1287.5,0.396,0.412
663.5,1286.5,0.334,0.587
664.5,1285.5,0.308,0.682
665.5,1284.5,0.35,0.387
666.5,1283.5,0.323,0.442
667.5,1282.5,0.397,0.477
668.5,1281.5,0.409,0.541
669.5,1280.5,0.425,0.438
670.5,1279.5,0.42,0.432
671.5,1278.5,0.449,0.447
672.5,1277.5,0.297,0.717
673.5,1276.5,0.545,1.488
674.5,1275.5,0.34,1.287
675.5,1274.5,0.678,0.398
676.5,1273.5,0.568,0.552
677.5,1272.5,0.374,0.444
678.5,1271.5,0.366,0.553
679.5,1270.5,0.862,0.44
680.5,1269.5,0.887,0.704
681.5,1268.5,0.387,1.879
682.5,1267.5,0.413,0.591
683.5,1266.5,0.437,0.491
684.5,1265.5,0.465,0.469
685.5,1264.5,0.42,0.291
686.5,1263.5,0.491,0.444
687.5,1262.5,0.596,0.482
688.5,1261.5,0.479,0.447
689.5,1260.5,0.821,0.694
690.5,1259.5,0.525,0.468
691.5,1258.5,0.421,1.332
692.5,1257.5,0.823,3.73
693.5,1256.5,0.362,0.513
694.5,1255.5,0.314,0.254
695.5,1254.5,0.303,0.356
696.5,1253.5,0.286,0.384
697.5,1252.5,0.337,0.296
698.5,1251.5,0.327,0.149
699.5,1250.5,0.378,0.489
700.5,1249.5,0.391,0.447
701.5,1248.5,0.543,0.274
702.5,1247.5,0.575,0.326
703.5,1246.5,0.313,0.445
704.5,1245.5,0.315,0.346
705.5,1244.5,0.338,0.353
706.5,1243.5,0.356,0.481
707.5,1242.5,0.381,0.377
708.5,1241.5,0.324,0.301
709.5,1240.5,0.38,0.826
710.5,1239.5,0.329,0.369
711.5,1238.5,0.278,0.299
712.5,1237.5,0.411,0.416
713.5,1236.5,0.422,0.532
714.5,1235.5,0.344,0.34
715.5,1234.5,0.368,0.622
716.5,1233.5,0.28,0.394
717.5,1232.5,0.301,0.487
718.5,1231.5,0.352,0.423
719.5,1230.5,0.477,0.717
720.5,1229.5,0.541,1.353
721.5,1228.5,0.293,0.608
722.5,1227.5,0.405,0.467
723.5,1226.5,0.343,0.559
724.5,1225.5,0.347,0.39
725.5,1224.5,0.381,0.776
726.5,1223.5,0.337,0.515
727.5,1222.5,0.499,0.387
728.5,1221.5,0.448,0.35
729.5,1220.5,0.372,0.478
730.5,1219.5,0.37,0.341
731.5,1218.5,0.339,0.637
732.5,1217.5,0.32,0.384
733.5,1216.5,0.481,0.52
